# 128 exercises (id<TAB>name)
plank_saw	Plank Saw
alternating_superman	Alternating Superman
bird_dog	Bird Dog
floor_dip	Floor Dip
jumping_lunges	Jumping Lunges
kneeling_shoulder_tap	Kneeling Shoulder Tap
mountain_climbers	Mountain Climbers
back_extension_lying	Back Extension
superman_pull_up	Superman Pull-Up
superman_hold	Superman Hold
w_raise	W Raise
y_raise	Y Raise
bent_knee_hip_raise	Bent Knee Hip Raise
boat_flutters	Boat Hold + Flutter
boat_bicycle	Boat Hold Bicycle
cocoon_crunch	Cocoon Crunch
crunch_knee_raise	Crunch + Knee Raise
alt_knee_raise_crunch	Alternating Knee Raise Crunch
crunch	Crunch
dead_bug	Dead Bug
dead_bug_leg_lower	Dead Bug Leg Lower
diagonal_plank	Diagonal Plank
flutter_kicks	Flutter Kicks
glute_bridge_march	Glute Bridge March
bicycle_crunch	Bicycle Crunch
alt_leg_raise	Alternating Leg Raise
leg_raise_hold	Leg Raise + Hold
leg_raise	Leg Raise
leg_raise_hip_lift	Leg Raise + Hip Lift
reverse_crunch	Reverse Crunch
seated_knee_tuck	Seated Knee Tuck
side_plank	Side Plank
side_crunch	Side Crunch
side_crunch_hip_raise	Side Crunch + Hip Raise
sit_up	Sit-Up
standing_hip_abduction	Standing Hip Abduction
standing_side_bend	Standing Side Bend
tabletop_bridge	Tabletop Bridge
tabletop_bridge_knee_lift	Tabletop Bridge + Knee Lift
tabletop_hold_knee_lift	Tabletop Hold + Knee Lift
v_up	V-Up
vertical_leg_crunch	Vertical Leg Crunch
windshield_wipers	Windshield Wipers
reverse_to_forward_lunge	Reverse-to-Forward Lunge
air_squat	Air Squat
donkey_kick	Donkey Kick
donkey_kick_pulse	Donkey Kick Pulse
donkey_kickback	Donkey Kickback
fire_hydrant	Fire Hydrant
alt_forward_lunge	Alternating Forward Lunge
glute_bridge	Glute Bridge
good_morning	Good Morning
high_plank_leg_raise	High Plank Leg Raise
kneeling_squat	Kneeling Squat
forward_lunge	Forward Lunge
reverse_lunge	Reverse Lunge
low_plank_leg_raise	Low Plank Leg Raise
narrow_squat	Narrow Squat
overhead_forward_lunge	Overhead Forward Lunge
overhead_reverse_lunge	Overhead Reverse Lunge
side_lunge	Side Lunge
side_lying_hip_abduction	Side-Lying Hip Abduction
side_plank_hip_abduction	Side Plank Hip Abduction
side_split_squat	Side Split Squat
single_leg_glute_bridge	Single-Leg Glute Bridge
single_leg_rdl	Single-Leg RDL
stiff_leg_deadlift	Stiff-Leg Deadlift
split_squat	Split Squat
squat	Squat
squat_calf_raise	Squat to Calf Raise
pulse_squat	Pulse Squat
calf_raise	Calf Raise
single_leg_calf_raise	Single-Leg Calf Raise
sumo_squat	Sumo Squat
wall_sit	Wall Sit
skipping	Skipping
bodyweight_swing	Bodyweight Swing
burpee	Burpee
burpee_no_jump	Burpee (No Jump)
burpee_pushup	Burpee + Push-Up
butt_kicks	Butt Kicks
crab_toe_touches	Crab Toe Touches
front_kicks	Front Kicks
high_knees	High Knees
jumping_jacks	Jumping Jacks
modified_burpee	Modified Burpee
modified_jacks	Modified Jumping Jacks
plank_frog_jump	Plank Frog Jump
plank_jacks	Plank Jacks
boxing_punches	Boxing Punches
run_punch	Run + Punch
run_in_place	Run in Place
plank_run	Plank Run
side_jacks	Side Jacks
side_leg_jack	Side Leg Jack
simple_jacks	Simple Jumping Jacks
jump_squat	Jump Squat
squat_front_kick	Squat + Front Kick
sumo_jump_squat	Sumo Jump Squat
baby_cobra	Baby Cobra
bow_pose	Bow Pose
cat_cow	Cat-Cow
cat_stretch	Cat Stretch
childs_pose	Child's Pose
cobra	Cobra
cow_stretch	Cow Stretch
shoulder_stretch	Shoulder Stretch
downward_dog	Downward Dog
puppy_pose	Puppy Pose
forward_fold_bind	Forward Fold + Bind
neck_stretch	Neck Stretch
sphinx	Sphinx
side_tilt	Side Tilt
backbend	Backbend
upward_dog	Upward Dog
reverse_tabletop	Reverse Tabletop
deep_hip_flexor	Deep Hip Flexor Stretch
hamstring_stretch_standing	Standing Hamstring Stretch
hip_flexor_stretch	Hip Flexor Stretch
knees_to_chest	Knees to Chest
lizard_pose	Lizard Pose
lying_glute_stretch	Lying Glute Stretch
lying_hamstring_stretch	Lying Hamstring Stretch
single_knee_to_chest	Single Knee to Chest
kneeling_quad_stretch	Kneeling Quad Stretch
seated_forward_fold	Seated Forward Fold
standing_knee_hug	Standing Knee Hug
standing_quad_stretch	Standing Quad Stretch
